// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(4528012043), secs(0),  cells(26), svn(2866:2867M,130), Tue Jun  5 15:08:53 ICT 2012
QED, ineq(7459553847), secs(0),  cells(24), svn(2866:2867M,130), Tue Jun  5 15:08:58 ICT 2012
QED, ineq(4143829594), secs(0),  cells(52), svn(2866:2867M,130), Tue Jun  5 15:09:03 ICT 2012
QED, ineq(1080462150), secs(0),  cells(104), svn(2866:2867M,130), Tue Jun  5 15:09:07 ICT 2012
QED, ineq(9816718044), secs(0),  cells(62), svn(2866:2867M,130), Tue Jun  5 15:09:12 ICT 2012
QED, ineq(3106201101), secs(0),  cells(70), svn(2866:2867M,130), Tue Jun  5 15:09:17 ICT 2012
QED, ineq(2200527225), secs(0),  cells(64), svn(2866:2867M,130), Tue Jun  5 15:09:21 ICT 2012
QED, ineq(2900061606), secs(0),  cells(118), svn(2866:2867M,130), Tue Jun  5 15:09:26 ICT 2012
QED, ineq(7097350062a), secs(0),  cells(110), svn(2866:2867M,130), Tue Jun  5 15:09:30 ICT 2012
QED, ineq(7645170609), secs(0),  cells(198), svn(2866:2867M,130), Tue Jun  5 15:09:35 ICT 2012
QED, ineq(7881254908), secs(0),  cells(428), svn(2866:2867M,130), Tue Jun  5 15:09:40 ICT 2012
QED, ineq(5026777310), secs(0),  cells(262), svn(2866:2867M,130), Tue Jun  5 15:09:45 ICT 2012
QED, ineq(5766053833), secs(2),  cells(3162), svn(2866:2867M,130), Tue Jun  5 15:09:51 ICT 2012
QED, ineq(5405130650), secs(8),  cells(13986), svn(2866:2867M,130), Tue Jun  5 15:10:04 ICT 2012
QED, ineq(3603097872), secs(14),  cells(23946), svn(2866:2867M,130), Tue Jun  5 15:10:24 ICT 2012
QED, ineq(4922521904), secs(1),  cells(1154), svn(2866:2867M,130), Tue Jun  5 15:10:33 ICT 2012
QED, ineq(9269152105), secs(1),  cells(820), svn(2866:2867M,130), Tue Jun  5 15:10:39 ICT 2012
QED, ineq(2739661360), secs(0),  cells(1054), svn(2866:2867M,130), Tue Jun  5 15:10:44 ICT 2012
QED, ineq(7720405539), secs(0),  cells(1094), svn(2866:2867M,130), Tue Jun  5 15:10:49 ICT 2012
QED, ineq(9977174768), secs(1),  cells(880), svn(2866:2867M,130), Tue Jun  5 15:11:08 ICT 2012
QED, ineq(8520556953), secs(0),  cells(82), svn(2866:2867M,130), Tue Jun  5 15:11:12 ICT 2012
QED, ineq(4528012043), secs(0),  cells(26), svn(2866:2867M,130), Tue Jun  5 15:27:59 ICT 2012
QED, ineq(3221740746 a), secs(5),  cells(3388), svn(2866:2867M,130), Tue Jun  5 15:28:26 ICT 2012
QED, ineq(3980286827), secs(3),  cells(1748), svn(2866:2867M,130), Tue Jun  5 15:28:33 ICT 2012
QED, ineq(8199484193), secs(3),  cells(3360), svn(2866:2867M,130), Tue Jun  5 15:28:41 ICT 2012
QED, ineq(9861833891), secs(7),  cells(4918), svn(2866:2867M,130), Tue Jun  5 15:28:53 ICT 2012
QED, ineq(2559885109), secs(0),  cells(70), svn(2866:2867M,130), Tue Jun  5 15:28:57 ICT 2012
QED, ineq(9459075374), secs(0),  cells(1526), svn(2866:2867M,130), Tue Jun  5 15:29:02 ICT 2012
QED, ineq(7067938795), secs(0),  cells(1332), svn(2866:2867M,130), Tue Jun  5 15:29:07 ICT 2012
QED, ineq(2535350075), secs(1),  cells(828), svn(2866:2867M,130), Tue Jun  5 15:29:12 ICT 2012
QED, ineq(5202826650 a), secs(4),  cells(3426), svn(2866:2867M,130), Tue Jun  5 15:29:21 ICT 2012
QED, ineq(3615835903), secs(609),  cells(365998), svn(2866:2867M,130), Tue Jun  5 15:39:35 ICT 2012
QED, ineq(4872337467), secs(343),  cells(223106), svn(2866:2867M,130), Tue Jun  5 15:45:24 ICT 2012
QED, ineq(2283016857), secs(135),  cells(100964), svn(2866:2867M,130), Tue Jun  5 15:47:45 ICT 2012
QED, ineq(5493250206), secs(43),  cells(56122), svn(2866:2867M,130), Tue Jun  5 15:48:33 ICT 2012
QED, ineq(6388508112), secs(785),  cells(306952), svn(2866:2867M,130), Tue Jun  5 16:01:43 ICT 2012
QED, ineq(4108834026), secs(758),  cells(338616), svn(2866:2867M,130), Tue Jun  5 16:14:26 ICT 2012
QED, ineq(1324821088), secs(211),  cells(140956), svn(2866:2867M,130), Tue Jun  5 16:18:02 ICT 2012
QED, ineq(9075398267), secs(1015),  cells(408408), svn(2866:2867M,130), Tue Jun  5 16:35:02 ICT 2012
QED, ineq(3306409086), secs(814),  cells(338304), svn(2866:2867M,130), Tue Jun  5 16:48:41 ICT 2012
QED, ineq(5338748573), secs(574),  cells(168702), svn(2866:2867M,130), Tue Jun  5 16:58:20 ICT 2012
QED, ineq(4528012043), secs(0),  cells(26), svn(2866:2867M,130), Tue Jun  5 17:11:34 ICT 2012
QED, ineq(2485876245b), secs(0),  cells(342), svn(2866:2867M,130), Tue Jun  5 17:19:03 ICT 2012
QED, ineq(2485876245a), secs(0),  cells(44), svn(2866:2867M,130), Tue Jun  5 17:19:08 ICT 2012
QED, ineq(6459846571), secs(0),  cells(48), svn(2866:2867M,130), Tue Jun  5 17:19:12 ICT 2012
QED, ineq(4559601669b), secs(0),  cells(1), svn(2866:2867M,130), Tue Jun  5 17:19:17 ICT 2012
QED, ineq(4559601669), secs(0),  cells(4), svn(2866:2867M,130), Tue Jun  5 17:19:22 ICT 2012
QED, ineq(1117202051), secs(0),  cells(1), svn(2866:2867M,130), Tue Jun  5 17:19:26 ICT 2012
